DALLAS TOP 50 WORDS (2000 JOBS),COUNT
experience,11968
development,5719
work,4954
team,4451
business,4129
skills,3818
software,3659
design,3648
data,3200
years,3162
solutions,3012
job,2959
knowledge,2764
technical,2620
ability,2575
technology,2565
services,2558
other,2454
working,2448
developer,2420
management,2348
systems,2254
applications,2150
technologies,2143
engineering,2138
required,2106
support,2076
application,2066
requirements,2054
new,2003
opportunity,1980
using,1950
including,1893
environment,1876
strong,1852
java,1796
status,1704
web,1667
tools,1657
cloud,1657
more,1601
company,1535
code,1519
about,1511
teams,1509
information,1505
understanding,1493
must,1491
role,1428
develop,1426
