HOUSTON TOP 50 WORDS (721 JOBS),COUNT
experience,3696
development,2194
work,2003
business,1790
team,1729
skills,1479
software,1304
design,1268
solutions,1229
management,1180
data,1124
technology,1047
other,1023
years,1017
job,995
working,983
technical,982
developer,973
support,970
knowledge,963
ability,938
applications,901
strong,879
project,875
including,875
services,871
requirements,868
required,811
new,786
develop,750
application,746
information,725
status,719
more,701
opportunity,692
using,689
global,680
systems,671
environment,661
company,635
financial,623
preferred,610
projects,609
degree,600
web,594
technologies,585
system,569
provide,563
tools,541
understanding,536
