NEW YORK CITY TOP 50 WORDS (2000 JOBS),COUNT
experience,10859
development,5237
work,5018
team,4262
business,3706
design,3430
skills,3260
data,3229
developer,2967
working,2891
knowledge,2824
years,2735
solutions,2649
software,2611
technology,2592
new,2531
job,2484
services,2430
other,2240
applications,2207
support,2144
technical,2131
strong,2116
java,2086
opportunity,2035
status,1998
requirements,1931
application,1886
ability,1859
management,1834
more,1826
using,1766
about,1742
systems,1726
code,1675
including,1630
technologies,1621
web,1615
environment,1586
people,1579
required,1529
clients,1503
tools,1501
information,1486
financial,1387
role,1379
teams,1378
build,1373
company,1365
develop,1362
