NEW YORK CITY TOP KEYWORDS (2000 JOBS),COUNT
java,2086
sql,1349
javascript,994
python,763
aws,731
angular,703
rest,556
api,541
react,525
salesforce,524
apis,515
css,480
.net,459
html,416
c#,400
git,400
devops,338
power,319
apex,225
bi,211
html5,210
jquery,189
docker,186
js,181
c++,180
shell,171
php,156
mongodb,127
scala,126
nodejs,120
c,116
mysql,114
node.js,112
css3,103
r,96
reactjs,82
ssis,80
angularjs,77
node,76
ruby,72
kotlin,64
ssrs,56
bash,53
swift,53
react.js,42
powerbi,26
powershell,25
vba,18
objective-c,11
rust,10
assembly,2
