PHILADELPHIA TOP 50 WORDS (1068 JOBS),COUNT
experience,5573
work,3005
development,2754
team,2262
software,2080
skills,2047
business,2012
data,1961
design,1632
developer,1502
other,1443
services,1438
solutions,1377
job,1346
technical,1341
years,1316
ability,1290
support,1286
new,1284
technology,1264
working,1256
knowledge,1250
including,1165
systems,1163
management,1135
requirements,1128
required,1124
information,1091
strong,1068
applications,1065
company,1051
position,1020
opportunity,1019
more,999
status,960
application,937
engineering,932
environment,909
web,863
system,859
one,845
customers,844
product,836
technologies,831
tools,831
using,827
provide,803
time,802
about,787
project,781
