PHILADELPHIA TOP KEYWORDS (1062 JOBS),COUNT
sql,772
java,610
javascript,523
aws,495
.net,403
angular,377
python,309
api,304
power,301
c#,274
react,271
apis,260
salesforce,237
rest,224
css,218
html,217
git,153
devops,142
bi,118
php,118
c++,98
jquery,94
js,87
docker,83
mysql,80
r,77
html5,67
node.js,62
apex,58
ssrs,54
ssis,53
nodejs,52
c,47
node,42
scala,40
mongodb,36
css3,33
ruby,31
assembly,28
shell,27
angularjs,26
kotlin,26
powershell,25
reactjs,24
powerbi,22
react.js,18
bash,13
vba,10
swift,9
vhdl,4
objective-c,2
postgressql,1
