SAN FRANCISCO TOP 50 WORDS (20 JOBS),COUNT
experience,62
development,41
work,36
developer,31
data,30
new,29
working,27
tools,26
team,24
develop,22
project,22
google,22
full,20
etl,20
decentralized,18
open,16
company,16
developers,15
building,15
software,14
platform,14
protocols,13
about,13
requirements,13
source,12
social,12
skills,12
stack,12
related,12
processing,12
time,11
existing,11
responsibilities,11
documentation,11
other,11
learn,11
looking,10
planetary,10
solutions,10
applications,10
years,10
systems,10
knowledge,10
engineering,10
ability,10
opportunity,10
community,10
updates,10
release,10
must,10
