LOS ANGELES TOP 50 WORDS (1637 JOBS),COUNT
experience,9137
work,4892
team,4312
development,4116
business,3377
skills,3136
software,3050
engineering,3014
systems,2903
ability,2849
other,2760
design,2737
data,2650
job,2527
required,2499
status,2369
management,2335
technologies,2331
technical,2317
raytheon,2233
including,2203
years,2179
opportunity,2119
more,2048
developer,2045
working,2029
support,1997
new,1970
space,1957
requirements,1921
knowledge,1903
solutions,1863
employment,1860
technology,1816
company,1778
employees,1772
product,1684
environment,1659
provide,1653
information,1652
strong,1570
equal,1548
services,1524
teams,1509
position,1499
degree,1454
disability,1453
project,1441
must,1438
time,1406
