PHOENIX TOP KEYWORDS (820 JOBS),COUNT
sql,467
java,454
aws,318
javascript,287
api,237
apis,230
.net,203
c#,185
python,176
power,171
angular,164
rest,162
css,145
salesforce,144
html,137
devops,136
react,125
git,110
docker,91
c,77
bi,73
jquery,70
js,58
c++,56
ruby,54
html5,53
php,52
mysql,44
r,40
swift,39
nodejs,39
ssis,38
mongodb,35
apex,32
ssrs,30
node.js,29
shell,28
node,28
scala,25
css3,23
angularjs,23
kotlin,21
rust,20
powershell,19
reactjs,14
powerbi,13
bash,12
assembly,11
react.js,6
objective-c,6
postgressql,5
vba,4
asm,1
lua,1
