SAN DIEGO TOP 50 WORDS (681 JOBS),COUNT
experience,4386
work,2098
software,2088
development,1861
team,1627
design,1424
systems,1304
business,1303
other,1167
years,1147
required,1084
skills,1056
data,1031
engineering,992
more,989
support,955
including,943
job,934
ability,928
new,914
management,906
requirements,861
technologies,854
information,851
solutions,845
working,841
developer,835
applications,824
degree,819
environment,796
knowledge,790
technical,784
aerospace,766
company,749
status,731
services,729
opportunity,689
test,680
strong,675
qualifications,675
products,656
product,649
such,649
tools,642
application,636
technology,624
customers,622
employees,610
employer,609
develop,596
