SAN FRANCISCO TOP 50 WORDS (20 JOBS),COUNT
toptal,91
career,80
freelance,78
experience,67
top,65
working,59
developers,58
full-time,54
network,53
developer,51
work,50
job,35
community,35
next,31
projects,30
team,29
clients,28
strong,28
you're,27
potential,27
so,27
time,27
share,27
usd,26
leading,26
elite,26
world's,26
3%,26
choose,26
jobs,26
overhead,26
programs,26
experts,26
skills,26
advantage,26
you'll,25
best,23
other,23
about,21
technical,21
like,21
design,20
new,20
knowledge,19
years,18
·,18
paid,17
every,17
additional,17
project,17
