SAN JOSE TOP KEYWORDS (1871 JOBS),COUNT
java,996
python,655
javascript,631
aws,605
salesforce,564
apis,509
sql,465
api,424
c++,382
rest,380
react,376
power,331
devops,312
css,289
angular,260
git,242
docker,231
html,230
c,205
c#,194
r,127
bi,118
node.js,116
html5,108
mysql,105
apex,103
js,100
.net,99
kotlin,86
ruby,78
reactjs,77
swift,76
nodejs,74
mongodb,66
shell,62
jquery,60
scala,60
css3,59
node,53
react.js,51
bash,46
objective-c,41
php,30
angularjs,30
rust,22
verilog,16
powershell,15
powerbi,12
assembly,10
lua,7
ssrs,7
ssis,7
vhdl,5
fortran,3
vba,2
postgressql,2
