SEATTLE TOP 50 WORDS (1727 JOBS),COUNT
experience,10315
team,6026
work,5477
development,4179
software,3966
·,3491
microsoft,3446
design,3271
business,3199
services,3176
data,3154
technical,3020
years,2960
skills,2886
product,2840
status,2784
cloud,2781
other,2731
engineering,2701
disability,2586
developer,2523
ability,2516
customer,2408
including,2389
working,2350
opportunity,2303
teams,2287
systems,2271
requirements,2266
customers,2226
management,2191
new,2180
more,2135
employment,2103
information,2041
solutions,2016
build,2001
required,1999
protected,1920
building,1912
about,1911
strong,1911
across,1889
technology,1819
platform,1815
support,1812
qualifications,1810
help,1796
gender,1754
job,1722
