DETROIT TOP KEYWORDS (480 JOBS),COUNT
java,295
sql,236
javascript,133
salesforce,130
python,108
aws,106
c++,98
power,86
c,86
apis,79
git,73
c#,72
rest,69
api,66
css,65
react,63
.net,59
angular,54
html,50
devops,47
apex,42
bi,34
shell,32
docker,31
mysql,29
assembly,22
jquery,21
php,20
swift,19
r,19
node.js,17
scala,17
html5,16
kotlin,15
powershell,13
ruby,12
objective-c,9
css3,9
node,9
bash,9
powerbi,9
angularjs,9
nodejs,8
mongodb,7
js,5
vba,3
reactjs,3
react.js,3
ssis,3
postgressql,2
ssrs,2
vhdl,1
