NEW YORK CITY TOP KEYWORDS (2000 JOBS),COUNT
java,2302
sql,1327
javascript,980
python,770
aws,741
angular,710
rest,568
api,562
salesforce,555
react,547
apis,518
css,481
.net,473
html,416
git,397
c#,393
devops,334
power,321
apex,246
bi,216
html5,211
jquery,193
js,190
docker,181
c++,173
shell,163
php,145
node.js,130
mongodb,126
mysql,121
nodejs,120
scala,120
c,117
css3,102
r,98
ssis,81
reactjs,80
ruby,77
angularjs,74
node,74
kotlin,62
bash,52
swift,51
ssrs,50
react.js,41
vba,27
powershell,25
powerbi,14
objective-c,10
rust,10
assembly,2
