PHOENIX TOP KEYWORDS (815 JOBS),COUNT
sql,461
java,459
aws,361
javascript,287
api,237
apis,225
.net,209
power,180
c#,180
python,178
rest,162
angular,162
devops,154
css,146
salesforce,144
html,142
react,138
git,119
docker,98
c,76
bi,71
jquery,70
php,59
c++,56
ruby,55
js,54
html5,52
mysql,46
r,40
node.js,40
nodejs,39
mongodb,36
ssis,35
swift,34
apex,33
shell,27
ssrs,26
node,26
scala,26
angularjs,23
css3,22
kotlin,22
rust,20
powershell,19
reactjs,13
bash,12
assembly,11
objective-c,8
powerbi,7
react.js,5
postgressql,5
vba,4
asm,1
lua,1
