PORTLAND TOP KEYWORDS (499 JOBS),COUNT
aws,402
java,240
sql,231
salesforce,213
javascript,208
power,179
react,156
python,145
c#,130
apis,127
.net,117
api,115
devops,99
html,83
css,81
rest,79
git,64
c++,64
bi,62
node.js,62
nodejs,62
r,55
angular,54
docker,49
node,48
apex,43
ruby,40
js,39
php,36
c,35
mysql,31
assembly,27
ssis,27
mongodb,24
scala,23
kotlin,21
shell,21
html5,20
jquery,20
reactjs,20
powershell,15
ssrs,14
react.js,11
bash,11
css3,10
swift,10
objective-c,6
powerbi,6
angularjs,5
fortran,5
vba,4
postgressql,1
rust,1
