SAN FRANCISCO TOP KEYWORDS (2000 JOBS),COUNT
salesforce,907
java,857
aws,840
javascript,690
apis,682
api,591
sql,580
python,577
react,511
rest,432
power,410
css,313
devops,303
git,255
html,253
docker,236
angular,223
c#,153
.net,148
node.js,141
c++,139
ruby,136
apex,132
bi,131
mysql,130
r,114
c,106
html5,106
js,102
mongodb,101
kotlin,95
php,89
swift,84
nodejs,71
jquery,70
reactjs,67
node,66
scala,63
css3,46
react.js,46
rust,38
angularjs,35
objective-c,35
shell,34
bash,30
ssis,15
ssrs,15
assembly,13
powerbi,12
powershell,9
lua,4
vba,3
