SAN JOSE TOP KEYWORDS (1946 JOBS),COUNT
java,1042
python,689
javascript,654
aws,589
apis,507
api,480
sql,461
react,408
c++,399
salesforce,393
rest,361
power,334
devops,324
css,293
angular,276
git,241
docker,240
html,231
c,222
c#,186
node.js,148
r,127
html5,114
mysql,105
bi,101
.net,100
apex,95
js,94
kotlin,90
ruby,83
reactjs,80
swift,75
nodejs,71
shell,62
mongodb,59
css3,59
jquery,59
scala,59
node,51
react.js,47
bash,46
objective-c,40
php,32
angularjs,29
rust,21
powershell,14
verilog,13
assembly,12
lua,7
powerbi,7
ssrs,5
ssis,5
vhdl,4
postgressql,3
fortran,3
vba,2
