WASHINGTON DC TOP KEYWORDS (2000 JOBS),COUNT
java,1663
sql,1284
javascript,1221
aws,982
python,781
.net,699
angular,630
css,613
html,594
c#,506
devops,458
git,457
react,438
api,412
rest,410
apis,408
power,352
jquery,346
salesforce,314
docker,299
c,274
php,263
c++,247
bi,244
html5,219
mysql,216
apex,197
ruby,153
bash,136
node.js,136
js,116
css3,107
angularjs,106
mongodb,101
shell,100
powershell,82
node,80
r,75
nodejs,67
ssrs,50
assembly,46
scala,42
reactjs,41
react.js,40
vba,36
ssis,31
swift,26
powerbi,26
kotlin,17
objective-c,11
rust,4
fortran,4
lua,4
vhdl,3
postgressql,2
asm,1
