CALIFORNIA TOP KEYWORDS (2000 JOBS),COUNT
java,1111
sql,1064
javascript,940
salesforce,857
python,643
api,540
css,506
react,502
aws,501
.net,490
apis,485
rest,478
html,434
c#,384
angular,368
git,346
power,294
devops,267
c++,265
apex,227
bi,214
c,208
docker,190
mysql,168
node.js,165
js,162
html5,160
php,154
jquery,142
kotlin,110
ruby,105
swift,103
node,97
css3,96
ssis,90
nodejs,82
ssrs,81
mongodb,81
reactjs,76
r,69
angularjs,61
shell,61
react.js,54
scala,47
bash,45
powershell,30
objective-c,29
powerbi,21
assembly,10
rust,10
vba,7
verilog,4
lua,3
vhdl,2
postgressql,1
fortran,1
