CONNECTICUT TOP KEYWORDS (444 JOBS),COUNT
sql,338
java,250
javascript,152
aws,148
.net,132
python,119
api,117
salesforce,114
apis,111
c#,102
angular,88
devops,87
power,85
bi,83
rest,75
react,75
css,72
html,68
apex,60
c,56
node.js,49
git,46
c++,35
js,34
jquery,32
html5,30
mysql,29
docker,29
ssis,28
mongodb,28
php,26
scala,25
shell,23
node,17
nodejs,16
ssrs,15
css3,13
reactjs,13
r,10
ruby,9
angularjs,7
kotlin,5
powershell,5
lua,4
powerbi,3
bash,3
swift,2
objective-c,2
react.js,2
assembly,2
vhdl,2
verilog,2
vba,1
postgressql,1
