DC TOP KEYWORDS (2000 JOBS),COUNT
java,1603
sql,1309
javascript,1227
aws,999
python,807
.net,747
angular,651
css,620
html,581
c#,548
git,453
react,452
devops,442
rest,426
api,418
apis,417
power,364
jquery,357
salesforce,313
docker,290
c,279
php,266
bi,244
c++,229
html5,214
apex,212
mysql,210
bash,141
ruby,141
node.js,133
js,113
angularjs,110
shell,104
css3,102
mongodb,95
powershell,83
node,78
r,76
nodejs,59
ssrs,51
assembly,48
scala,44
reactjs,38
ssis,36
vba,35
react.js,33
swift,29
powerbi,28
kotlin,20
objective-c,11
fortran,4
rust,3
asm,2
vhdl,2
postgressql,1
