GEORGIA TOP KEYWORDS (2000 JOBS),COUNT
java,1510
sql,1252
javascript,999
aws,857
api,619
.net,613
angular,590
power,589
salesforce,517
react,516
apis,509
css,490
html,472
c#,457
python,456
rest,445
git,394
devops,375
bi,357
docker,226
jquery,205
html5,198
c,190
c++,170
js,158
node.js,143
angularjs,141
mysql,136
mongodb,132
nodejs,124
php,122
apex,112
ruby,93
ssis,90
r,87
node,78
css3,76
swift,76
kotlin,74
shell,74
ssrs,72
scala,67
reactjs,59
bash,46
powerbi,42
react.js,35
rust,33
powershell,29
assembly,27
objective-c,22
vba,12
lua,3
postgressql,1
verilog,1
asm,1
