MAINE TOP 500 WORDS (84 JOBS),COUNT
experience,391
work,305
skills,288
years,203
team,201
support,200
new,200
development,190
corning,188
process,182
status,181
products,181
other,174
position,166
data,159
science,158
quality,145
materials,137
required,130
technical,130
job,127
ability,122
equipment,122
business,119
expertise,117
developer,114
using,110
production,110
working,108
manufacturing,107
leading,106
more,105
engineering,105
gender,102
technology,98
solutions,98
plant,97
project,95
ensure,94
requirements,93
unique,93
design,91
systems,90
knowledge,89
including,87
through,87
develop,86
projects,85
life,85
software,84
segment,84
shift,84
degree,83
one,81
strong,81
hours,76
application,75
customers,73
system,71
color,70
orientation,70
disability,70
sexual,69
global,68
benefits,68
department,68
company,68
accommodation,68
management,67
environment,67
provide,66
teams,66
technologies,66
national,66
protected,66
sciences,66
employees,65
opportunity,65
race,65
religion,65
origin,64
than,64
role,64
people,63
veteran,63
related,63
age,62
perform,61
high,60
use,60
provides,60
maintain,59
employment,59
challenges,59
laboratory,59
day,59
time,58
product,58
tools,58
education,58
able,58
performance,57
information,57
communication,57
within,57
innovation,57
must,56
build,56
preferred,56
basis,56
program,56
multiple,55
innovative,55
material,55
procedures,55
need,54
about,54
responsibilities,54
part,54
cell,53
seeking,52
please,52
apply,52
improve,52
individuals,52
number,52
include,51
value,51
collaboration,51
participate,51
understanding,50
control,50
level,49
sql,49
enable,49
solve,49
discovery,49
may,48
identity,48
surface,48
biology,48
safety,48
help,47
drug,47
supplier,47
costs,47
effective,47
cgi,47
industries,47
services,46
equal,46
combination,46
excellent,46
requisition,46
increase,46
does,45
lead,45
training,45
productivity,45
legally,45
its,45
close,45
reduce,45
testing,44
applications,44
applied,44
qualifications,43
employer,43
functions,43
timelines,43
approaches,43
specialty,43
researchers,43
lives,43
investment,43
scientific,43
out,42
leadership,42
maintenance,42
written,42
processes,42
customer,42
physics,42
100,42
fields,42
agile,41
established,41
innovators,41
160,41
unparalleled,41
glass,41
ceramics,41
optical,41
created,41
transformed,41
succeeds,41
sustained,41
tough,41
manufacturer,41
collaborates,41
efficiencies,41
compress,41
optics,41
biochemistry,41
breakthrough,41
discoveries,41
personnel,40
culture,40
dental,40
analysis,40
applicants,40
standards,40
receive,40
across,39
tasks,39
change,39
also,38
operations,38
needed,38
direct,38
learn,38
improvement,38
expression,38
lean,38
desired,37
disabilities,37
responsible,37
highly,37
such,37
idexx,37
supervisor,37
learning,36
travel,36
reasonable,36
plus,35
organization,35
practices,35
continuous,35
verbal,35
kennebunk,35
employee,34
but,34
implement,34
best,34
assist,34
maintains,34
immigration,34
sponsorship,34
health,33
marital,33
essential,33
opportunities,33
members,33
functional,33
career,33
issues,32
web,32
based,32
which,32
programs,32
request,32
computer,31
both,31
java,31
area,31
corning's,31
world's,30
performs,30
medical,29
meet,29
code,29
contact,29
automation,29
compliance,29
make,29
clients,28
qualified,28
act,28
salesforce,28
scope,28
pex,28
when,27
into,27
microsoft,27
reports,27
require,27
security,27
looking,27
key,27
appropriate,27
needs,27
these,27
schedule,27
building,27
professionals,27
provided,27
interview,27
privileges,27
standard,27
soft,27
daily,27
discrimination,27
good,26
friday,26
service,26
problem,26
plans,26
join,25
platform,25
open,25
vision,25
providing,25
internal,25
industry,25
identify,25
architecture,25
objectives,25
prohibit,25
state,24
background,24
set,24
order,24
without,24
developing,24
care,24
developers,24
delivery,24
levels,24
available,24
over,24
duties,24
digital,24
communicate,24
pay,24
people's,24
iso,24
2nd,24
they,23
manage,23
current,23
various,23
results,23
conditions,23
while,23
plan,23
problems,23
minimum,23
programming,23
handle,23
workforce,23
limited,23
each,22
start,22
diversity,22
test,22
detail,22
etc,22
advanced,22
records,22
machine,22
school,22
diploma,22
skill,21
positive,21
diverse,21
office,21
insurance,21
existing,21
methods,21
sex,21
where,21
implementation,21
attention,21
field,21
assigned,21
priorities,21
military,21
independently,21
necessary,21
supervision,21
discriminate,21
action,21
division,21
monday,21
after,20
full,20
bring,20
000,20
activities,20
focus,20
reporting,20
requires,20
proficient,20
document,20
access,20
directly,20
complex,20
specifications,20
planning,20
off,20
components,20
variety,20
take,20
complete,20
solving,20
execute,20
because,19
senior,19
methodologies,19
critical,19
contribute,19
group,19
sales,19
create,19
databases,19
how,19
final,19
future,19
being,19
paid,19
relationships,19
demonstrated,19
methodology,19
initiatives,19
competitive,19
commitment,19
rate,19
documentation,19
condition,19
used,19
investigation,19
individual,19
cost,19
corning’s,19
environmental,19
vacation,18
frameworks,18
big,18
today,18
world’s,18
coach,18
creating,18
per,18
prior,18
improvements,18
familiarity,18
member,18
exciting,18
follow,18
tool,18
flex-time,18
review,18
ged,18
safe,17
payroll,17
serve,17
why,17
proficiency,17
tests,17
professional,17
locations,17
modern,17
following,17
core,17
analytics,17
assists,17
presentation,17
personal,17
them,17
clean,17
center,17
changes,17
direction,17
others,17
flexibility,17
quickly,17
interpersonal,17
bonus,17
world,17
certification,17
manner,17
purpose,17
groups,17
regulations,17
patient,17
people’s,17
operators,17
assembly,17
location,16
like,16
designing,16
collaborative,16
javascript,16
year,16
growing,16
techniques,16
drupal,16
range,16
great,16
some,16
