MICHIGAN TOP KEYWORDS (806 JOBS),COUNT
sql,434
java,424
javascript,285
salesforce,189
aws,181
.net,179
python,173
c#,160
api,147
apis,146
git,145
css,140
react,137
angular,136
rest,132
power,132
devops,125
html,124
c++,116
c,108
bi,93
apex,70
docker,61
jquery,53
mysql,53
r,48
php,48
html5,41
shell,39
angularjs,30
node.js,30
css3,27
scala,27
ruby,26
powerbi,25
swift,25
powershell,25
assembly,24
kotlin,21
ssis,20
js,18
ssrs,16
bash,16
nodejs,13
mongodb,13
node,13
react.js,10
vba,9
reactjs,9
objective-c,9
rust,7
postgressql,2
vhdl,1
