NEW JERSEY TOP 500 WORDS (2000 JOBS),COUNT
experience,10550
development,5299
work,5216
business,4097
team,3886
design,3583
data,3569
skills,3537
software,3168
knowledge,2967
working,2884
solutions,2819
years,2726
technology,2720
support,2654
developer,2576
services,2528
technical,2413
job,2397
new,2316
other,2315
management,2254
requirements,2154
strong,2110
application,2099
ability,2093
status,2080
applications,2054
opportunity,2050
more,2032
systems,1946
using,1878
java,1851
including,1831
information,1779
environment,1765
technologies,1712
required,1678
people,1609
about,1574
global,1566
develop,1520
engineering,1516
financial,1498
tools,1477
company,1470
sql,1463
code,1452
barclays,1428
role,1420
web,1403
teams,1397
testing,1388
system,1366
understanding,1360
equal,1330
best,1310
disability,1303
gender,1287
cloud,1283
through,1277
employment,1262
one,1253
developing,1221
agile,1216
project,1213
needs,1208
test,1199
provide,1197
must,1195
service,1191
such,1188
product,1178
clients,1173
integration,1167
position,1163
protected,1145
where,1142
degree,1133
like,1132
you'll,1103
related,1102
architecture,1097
build,1088
practices,1072
across,1063
communication,1049
process,1043
description,1041
responsibilities,1027
ensure,1005
help,998
preferred,995
national,994
employer,989
high,977
time,975
quality,968
within,959
good,957
performance,952
platform,946
projects,944
products,942
qualifications,936
orientation,935
employees,924
adp,921
customers,913
customer,913
learn,913
client,912
plus,912
origin,905
sexual,900
computer,898
race,894
digital,893
full,883
veteran,881
religion,880
opportunities,868
issues,866
age,865
responsible,863
life,862
here,862
security,859
analysis,859
industry,857
world,852
make,850
lead,850
culture,846
complex,841
science,838
based,832
standards,829
also,828
create,828
please,825
building,817
diversity,815
level,810
future,804
they,801
aws,788
identity,784
part,780
able,778
color,776
user,776
programming,772
apply,765
processes,763
need,758
career,758
candidate,755
expertise,752
law,751
committed,746
excellent,737
javascript,737
implementation,736
problems,736
looking,733
inclusive,731
benefits,730
diverse,723
basis,718
database,715
innovation,715
should,704
core,693
delivery,692
spring,679
values,672
way,666
use,660
deliver,659
python,653
multiple,651
banking,651
join,649
applicants,645
value,641
group,640
oracle,639
most,632
understand,631
marital,626
into,625
salesforce,624
enterprise,620
providing,620
which,619
server,616
functional,613
businesses,613
learning,609
location,606
maintain,605
may,604
success,603
professional,601
etc,600
manage,599
without,596
innovative,591
how,584
operations,582
solution,575
but,574
we're,574
automation,573
over,572
developers,571
senior,571
day,571
inclusion,569
hands-on,568
personal,566
sex,564
jersey,562
angular,560
leading,560
api,557
manager,557
creating,556
millions,553
organization,552
key,548
various,547
infrastructure,546
program,544
following,542
integrity,539
them,537
mobile,534
production,531
both,528
minimum,526
implement,524
risk,524
frameworks,523
change,523
applicable,523
companies,517
unit,512
written,509
meet,509
highly,507
offer,501
community,497
existing,496
power,496
take,496
its,495
analytics,494
programs,494
stakeholders,493
platforms,493
impact,492
include,491
every,491
rest,489
designing,487
apis,486
framework,485
perform,485
engineer,485
internal,484
reporting,483
asset,483
continuous,482
compliance,482
equivalent,481
languages,480
members,478
out,477
nokia,477
goals,476
needed,474
drive,473
documentation,473
ideas,473
deployment,471
stack,469
reports,469
review,467
education,466
great,465
etl,465
coding,463
least,462
competitive,461
qualified,458
finance,458
bring,457
health,456
participate,455
end,454
procedures,453
while,451
investment,449
strategic,448
staffing,446
components,446
experienced,446
supporting,441
identify,436
provides,435
leadership,434
field,433
each,432
activities,431
expert,431
place,431
individuals,430
expression,429
employee,428
receive,426
better,425
tasks,424
driven,423
associates,422
whippany,418
medical,417
offers,417
open,417
circle,417
training,416
workplace,415
communicate,414
under,414
functions,413
research,412
office,410
find,410
environments,408
grow,404
databases,404
bachelor's,403
control,402
focus,399
hiring,396
would,394
accommodation,390
maintenance,388
marketing,388
advanced,379
analytical,377
hands,377
network,377
proficiency,376
sales,375
collaborate,374
flexible,374
email,374
assist,373
regard,372
closely,372
corporate,372
communities,372
insurance,371
serve,370
individual,369
positive,367
successful,367
concepts,366
excellence,366
leader,366
genetic,363
talent,362
external,362
capabilities,362
remote,359
resources,358
than,358
inc,357
market,357
mission,357
large,356
scale,355
relevant,355
designs,354
why,353
access,352
.net,351
methodologies,350
e.g,349
citizenship,348
features,348
around,348
local,347
reviews,346
critical,345
current,345
microsoft,345
engineers,343
scrum,342
reasonable,342
effectively,342
u.s,341
consideration,341
background,339
patterns,339
planning,339
verbal,338
contact,338
workforce,338
federal,338
big,337
strategy,337
important,336
growing,336
get,335
candidates,334
problem,334
believe,334
different,333
000,333
state,333
css,331
linux,330
writing,329
areas,329
growth,328
act,328
solid,327
require,327
creative,327
familiarity,326
users,326
git,326
year,325
cycle,325
proven,325
contribute,324
city,324
small,323
azure,323
respect,322
very,321
scripting,320
demonstrated,320
implementing,318
difference,318
means,318
passionate,318
those,317
commitment,317
seeking,315
techniques,315
react,314
collaborative,314
plan,314
improve,313
etc.,312
html,311
han,311
lives,310
processing,309
partner,309
variety,308
oriented,308
content,308
united,306
unix,306
desired,306
vision,305
set,305
some,305
equity,305
now,302
duties,301
source,301
colleagues,301
achieve,301
roles,300
travel,300
contract,299
things,299
approach,299
works,298
analyze,297
explore,297
architect,296
android,296
care,295
balance,295
partners,294
commercial,294
because,293
states,292
specifications,292
tech,292
devops,292
automated,291
solve,291
