NEW YORK TOP KEYWORDS (2000 JOBS),COUNT
java,1682
sql,1015
aws,849
javascript,825
python,748
salesforce,572
api,502
apis,473
react,454
.net,438
angular,434
css,398
devops,397
rest,391
power,385
c#,380
git,352
html,346
c++,248
bi,220
apex,188
docker,175
js,165
html5,158
php,151
jquery,143
c,133
mongodb,127
mysql,114
nodejs,99
ruby,99
shell,99
node.js,92
scala,88
r,81
node,80
ssis,64
reactjs,61
kotlin,58
css3,55
angularjs,55
ssrs,52
react.js,51
bash,51
swift,49
powershell,30
vba,29
powerbi,25
assembly,12
objective-c,7
vhdl,6
rust,5
verilog,2
lua,1
asm,1
