NORTH CAROLINA TOP KEYWORDS (1924 JOBS),COUNT
java,1507
sql,1350
aws,865
javascript,837
python,590
api,543
.net,535
angular,533
apis,502
rest,463
devops,440
css,395
salesforce,382
react,373
c#,366
power,354
html,343
git,302
bi,298
docker,212
apex,187
html5,174
js,171
mongodb,156
jquery,153
c++,151
php,132
r,124
c,122
node.js,114
mysql,113
shell,110
css3,95
angularjs,83
ruby,75
scala,74
node,70
ssis,70
nodejs,68
swift,66
reactjs,65
kotlin,63
powershell,55
ssrs,47
powerbi,38
bash,35
react.js,29
objective-c,17
vba,9
rust,4
assembly,3
postgressql,2
lua,2
fortran,1
