PENNSYLVANIA TOP KEYWORDS (1545 JOBS),COUNT
sql,1052
java,854
javascript,669
aws,617
.net,563
angular,501
api,440
c#,415
apis,369
python,367
power,352
react,316
rest,312
css,293
html,281
devops,255
git,252
salesforce,239
bi,186
php,154
r,130
jquery,127
c++,121
c,120
docker,117
html5,95
mysql,91
js,88
node.js,72
nodejs,68
apex,67
ssrs,67
scala,59
ssis,56
css3,55
ruby,54
angularjs,43
node,43
shell,43
mongodb,42
reactjs,39
powershell,37
bash,31
kotlin,30
powerbi,27
vba,23
react.js,22
rust,21
swift,19
assembly,16
objective-c,5
postgressql,1
asm,1
