TEXAS TOP KEYWORDS (2000 JOBS),COUNT
java,1893
sql,1355
javascript,889
aws,772
.net,691
rest,679
api,673
angular,601
python,591
react,561
salesforce,554
apis,528
c#,483
css,450
devops,392
git,381
html,370
apex,263
power,252
docker,237
bi,236
html5,231
jquery,224
js,213
mysql,166
c,155
php,153
shell,139
node.js,138
mongodb,134
css3,134
c++,132
nodejs,126
ruby,112
reactjs,83
node,78
kotlin,77
scala,73
swift,64
ssis,62
react.js,62
ssrs,60
angularjs,51
r,46
bash,45
powershell,41
powerbi,30
objective-c,17
rust,9
postgressql,6
assembly,5
vba,3
fortran,3
