VIRGINIA TOP KEYWORDS (2000 JOBS),COUNT
java,1567
sql,1471
javascript,1181
aws,1112
.net,811
python,699
angular,634
c#,591
html,558
css,545
devops,512
react,480
git,423
rest,420
apis,410
salesforce,409
api,403
jquery,311
power,297
apex,273
docker,268
c++,232
c,211
mysql,182
bi,180
html5,165
php,165
node.js,159
ruby,139
shell,126
js,123
bash,110
angularjs,108
r,97
mongodb,90
nodejs,72
css3,71
powershell,71
node,68
ssrs,64
ssis,49
swift,46
reactjs,43
scala,41
react.js,36
kotlin,32
vba,30
powerbi,22
assembly,11
objective-c,10
rust,5
postgressql,2
vhdl,2
asm,1
fortran,1
